Categoría / Ítem Configuración,Tribu,Squad,Estado,Estado homologado,RANGO
Activos Digitales - Bolívar Conmigo,Servicio,Bolivar Conmigo,Resuelta,Resuelto,1. En el mismo día
Aplicaciones Empresariales - SIAB,Asistencia,Asistencia,Work in Progress,En progreso,2. Entre 1 y 2 días
Aplicaciones Empresariales - IMPRESIONPDFPHP,Operaciones,Impresión y Firma Electrónica,Scaled,En progreso,3. Entre 2 días y 7 dias
Aplicaciones Empresariales - Pure Cloud,Servicio,Canales de atención Chat y Voz,Cancelado,Cancelado,4. Entre 1 y 2 Semanas
Aplicaciones Empresariales - Portal Web Asistencia Bolívar,Asistencia,Asistencia,Waiting for support,En progreso,5. Entre 2 y 4 Semanas
Aplicaciones Empresariales - Portal Servicios Asistencia Bolívar,Asistencia,Asistencia,Pending,En progreso,6. Mayores a 4 Semanas
Aplicaciones Fuerza Ventas - Mi Compañía Antigua (Intranet Bolnet),Servicio,Apoyo Comercial,Cerrada,Resuelto,
Aplicaciones Fuerza Ventas - Póliza Digital,Operaciones,Impresión y Firma Electrónica,Abierta,En progreso,
Aplicaciones Comunicación - Whatsapp Corporativo,Servicio,Canales de atención Chat y Voz,Esperando por ayuda,En progreso,
Aplicaciones Fuerza Ventas - Mi compañía (Portal ventas),Servicio,Apoyo Comercial,Escalado,En progreso,
Aplicaciones Empresariales - Filenet,Operaciones,Flujos de trabajo,Trabajo en progreso,En progreso,
Aplicaciones Empresariales - Bizagi,Operaciones,Flujos de trabajo,Resuelto,Resuelto,
Aplicaciones Empresariales - Portal Proveedores,Asistencia,Asistencia,Pendiente,En progreso,
Aplicaciones Comunicación - IVR,Servicio,Canales de atención Chat y Voz,Abierto,En progreso,
Aplicaciones Empresariales - Filenet Flujo de Emisión,Operaciones,Flujos de trabajo,Cancelado,Cancelado,
Aplicaciones Empresariales - Firma Electrónica,Operaciones,Impresión y Firma Electrónica,Cerrado,Resuelto,
Aplicaciones Empresariales - Portal – Seguros Bolívar,Servicio,Seguros Bolivar .com,In Progreso,En progreso,
Aplicaciones Empresariales - IMPRESIONXEROX,Operaciones,Impresión y Firma Electrónica,,,
Asistencia y Proveedores - Click - App Service Edge Autos,Asistencia,Asistencia,,,
Aplicaciones Empresariales - Siebel,Servicio,Canales de atención Chat y Voz,,,
Control de Accesos - FILENET,Operaciones,Flujos de trabajo,,,
Aplicaciones Empresariales - Portal Seguros Bolivar Indemnizaciones,Asistencia,Indemnizacions e info siniestros,,,
Aplicaciones Empresariales - Aviso de Siniestros (Intranet Bolnet),Asistencia,Indemnizacions e info siniestros,,,
Asistencia y Proveedores - SIAB,Asistencia,Asistencia,,,
Asistencia y Proveedores - Click - Web Service Edge Hogar,Asistencia,Asistencia,,,
Control de Accesos - MI COMPAÑÍA NUEVA,Servicio,Apoyo Comercial,,,
Aplicaciones Fuerza Ventas - Simón Servicios,Servicio,Apoyo Comercial,,,
Asistencia y Proveedores - Click - App Service Edge Hogar,Asistencia,Asistencia,,,
Control de Accesos - BIZAGI,Operaciones,Flujos de trabajo,,,
Aplicaciones Empresariales - Sinfónica,Asistencia,Asistencia,,,
Aplicaciones Fuerza Ventas - Firma Electrónica,Operaciones,Impresión y Firma Electrónica,,,
Control de Accesos - MI-COMPANIA,Servicio,Apoyo Comercial,,,
Aplicaciones Empresariales - Siebel 360,Servicio,Canales de atención Chat y Voz,,,
Aplicaciones Fuerza Ventas - Portal Aliados Seguros Bolívar,Servicio,Apoyo Comercial,,,
Data Operativa - Bolívar Conmigo,Servicio,Bolivar Conmigo,,,
Asistencia y Proveedores - Click Software / SIAB (Integración),Asistencia,Asistencia,,,
Asistencia y Proveedores - Fácil - Pro / SIAB (Integración),Asistencia,Asistencia,,,
Procedatos - Siebel,Servicio,Canales de atención Chat y Voz,,,
Asistencia y Proveedores - Tarifación automática,Asistencia,Asistencia,,,
Asistencia y Proveedores - Click - Web Service Edge Autos,Asistencia,Asistencia,,,
Asistencia y Proveedores - Click - Web Service Edge Línea Médica,Operaciones,Impresión y Firma Electrónica,,,
Procedatos - Póliza Digital,Operaciones,Impresión y Firma Electrónica,,,
Control de Accesos - POLIZA-ELECTRONICA,Operaciones,Impresión y Firma Electrónica,,,
Aplicaciones Empresariales - Softphone (Pure Cloud),Servicio,Canales de atención Chat y Voz,,,
Aplicaciones Empresariales - Siebel - SmartSupervision,Servicio,Canales de atención Chat y Voz,,,
Aplicaciones Fuerza Ventas - Oficina Virtual,Servicio,Acceso clientes,,,
